farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status
FARM0001,Central USA,Soybean,37.64,6.94,24.82,245.01,60.55,7.48,Sprinkler,Organic,39.8,2024-02-20,2024-06-03,104,3447.12,IOT2092,2024-06-03 01:00:00,14.5623,73.509,0.6189,None
FARM0002,North India,Wheat,29.68,6.98,22.15,154.3,72.74,6.24,Manual,Inorganic,43.37,2024-05-09,2024-08-10,93,2383.45,IOT2442,2024-06-03 10:00:00,22.3421,78.5166,0.4874,None
FARM0003,East Africa,Soybean,30.07,6.75,17.31,129.32,60.74,9.2,Drip,Inorganic,48.09,2024-02-19,2024-06-08,110,2617.46,IOT6036,2024-06-05 21:00:00,18.5691,76.0824,0.5502,None
FARM0004,South USA,Rice,28.27,6.04,31.74,117.63,66.5,5.05,Drip,Mixed,57.25,2024-04-26,2024-07-31,96,3571.21,IOT8569,2024-06-05 14:00:00,14.0025,88.3811,0.8966,None
FARM0005,North India,Cotton,37.82,6.14,28.84,188.6,59.45,9.55,None,Mixed,99.54,2024-05-04,2024-09-15,134,5267.7,IOT6484,2024-06-03 15:00:00,24.8294,83.834,0.3907,None
FARM0006,East Africa,Maize,23.74,6.53,28.33,76.48,46.54,5.93,None,Inorganic,55.95,2024-05-26,2024-10-05,132,4048.9,IOT2452,2024-06-01 01:00:00,18.8566,73.4216,0.7975,None
FARM0007,South India,Wheat,33.14,6.54,15.05,297.09,85.27,5.25,Manual,Organic,80.7,2024-02-04,2024-05-15,101,4040.14,IOT3947,2024-06-02 21:00:00,31.828,73.3578,0.8925,None
FARM0008,South USA,Cotton,12.62,5.51,32.74,277.83,49.97,4.17,Sprinkler,Inorganic,75.35,2024-05-10,2024-08-10,92,5484.27,IOT6660,2024-06-03 18:00:00,16.3961,77.6302,0.7844,Mild
FARM0009,Central USA,Rice,36.61,5.72,28.3,271.96,74.82,6.64,Manual,Organic,47.75,2024-04-02,2024-08-09,129,4643.29,IOT7359,2024-06-07 05:00:00,21.0161,83.6769,0.4235,None
FARM0010,East Africa,Wheat,15.54,6.3,23.49,190.55,46.11,5.21,Manual,Organic,46.27,2024-02-17,2024-07-02,136,5440.34,IOT6338,2024-06-05 21:00:00,20.5979,75.7642,0.4584,None
FARM0011,Central USA,Cotton,28.66,6.85,22.83,225.53,88.28,4.54,Sprinkler,Inorganic,32.35,2024-04-23,2024-08-05,104,3722.85,IOT8249,2024-06-07 19:00:00,20.6467,85.7637,0.5469,None
FARM0012,South India,Wheat,36.21,7.0,25.71,77.29,64.81,5.03,Manual,Mixed,49.15,2024-02-01,2024-06-02,122,4882.94,IOT6182,2024-06-01 14:00:00,16.0421,71.9106,0.4429,Mild
FARM0013,East Africa,Maize,24.9,6.18,31.25,182.05,67.69,4.7,Sprinkler,Organic,34.18,2024-04-03,2024-08-05,124,5205.48,IOT1672,2024-06-06 01:00:00,27.89,78.2104,0.4146,Severe
FARM0014,North India,Maize,44.62,5.55,20.34,175.52,43.37,9.96,Manual,Inorganic,62.97,2024-01-02,2024-04-17,106,2054.61,IOT4839,2024-06-05 16:00:00,17.0309,77.2455,0.3036,None
FARM0015,South India,Wheat,31.96,6.37,20.93,148.39,81.9,7.91,Manual,Organic,71.02,2024-02-16,2024-05-28,102,6639.8,IOT2100,2024-06-02 18:00:00,26.8808,83.9876,0.5758,None
FARM0016,South USA,Rice,43.31,7.19,17.48,199.12,40.82,8.33,Sprinkler,Mixed,36.36,2024-04-08,2024-08-02,116,1000.0,IOT5201,2024-06-03 23:00:00,25.707,89.3502,0.4689,None
FARM0017,East Africa,Wheat,33.5,7.4,26.12,175.14,40.18,6.89,Manual,Organic,68.09,2024-05-22,2024-10-10,141,4204.89,IOT7857,2024-06-05 17:00:00,24.4874,86.745,0.5105,Moderate
FARM0018,South USA,Cotton,24.77,5.98,33.75,277.0,57.44,7.81,Drip,Organic,41.59,2024-03-08,2024-08-01,146,2926.96,IOT1191,2024-06-07 13:00:00,27.7406,89.1869,0.5535,None
FARM0019,Central USA,Soybean,23.37,6.58,26.6,68.11,73.97,8.32,Sprinkler,Organic,72.27,2024-05-02,2024-08-21,111,3970.09,IOT8958,2024-06-02 08:00:00,15.8172,84.934,0.7667,None
FARM0020,East Africa,Cotton,41.19,5.97,21.65,288.42,72.89,8.64,Drip,Organic,2.95,2024-03-27,2024-07-15,110,5104.59,IOT5454,2024-06-02 16:00:00,12.9257,82.5694,0.5577,None
FARM0021,East Africa,Soybean,24.42,5.92,23.42,104.51,82.29,6.74,Sprinkler,Organic,48.39,2024-04-15,2024-08-28,135,3371.62,IOT9479,2024-06-07 15:00:00,28.8071,77.9109,0.5795,Mild
FARM0022,South India,Rice,16.6,6.22,32.27,177.35,54.85,9.7,None,Inorganic,8.91,2024-02-04,2024-06-13,130,5602.13,IOT6046,2024-06-07 07:00:00,25.31,83.0411,0.3346,None
FARM0023,East Africa,Rice,17.4,7.41,17.06,206.3,62.08,6.54,Sprinkler,Organic,75.67,2024-04-06,2024-08-17,133,2915.26,IOT4355,2024-06-02 22:00:00,34.7108,88.0562,0.5106,None
FARM0024,South India,Wheat,10.29,5.63,28.13,89.78,85.5,6.37,None,Mixed,23.3,2024-03-23,2024-08-08,138,4865.43,IOT8452,2024-06-05 05:00:00,12.9739,89.6895,0.4539,None
FARM0025,South USA,Rice,11.62,6.79,15.77,240.05,51.5,4.54,Manual,Inorganic,95.69,2024-04-09,2024-08-10,123,4351.9,IOT4926,2024-06-05 17:00:00,23.0019,71.092,0.6056,None
FARM0026,South USA,Rice,49.22,7.27,33.39,153.88,77.23,5.28,Sprinkler,Inorganic,49.65,2024-04-23,2024-09-05,135,4943.91,IOT7871,2024-06-05 03:00:00,29.5316,87.5774,0.8177,None
FARM0027,South USA,Rice,49.22,7.18,30.59,218.88,78.65,5.86,Sprinkler,Inorganic,22.06,2024-01-14,2024-05-20,127,5896.96,IOT2735,2024-06-02 00:00:00,21.1752,88.2545,0.7574,None
FARM0028,South India,Maize,44.61,7.2,33.15,143.79,53.98,8.14,Manual,Inorganic,53.77,2024-01-12,2024-04-16,95,1559.4,IOT2944,2024-06-02 08:00:00,33.9063,79.5614,0.8522,None
FARM0029,South India,Maize,32.7,5.85,25.21,239.24,45.51,8.9,Manual,Organic,52.69,2024-01-17,2024-04-27,101,1126.84,IOT3777,2024-06-01 10:00:00,23.018,70.7007,0.3862,Mild
FARM0030,North India,Maize,22.74,6.07,34.32,158.24,84.2,7.89,None,Mixed,80.68,2024-04-23,2024-09-12,142,6834.39,IOT2348,2024-06-02 03:00:00,27.8938,70.8182,0.6097,Mild
FARM0031,South India,Maize,28.61,6.37,23.06,80.46,66.29,6.68,Sprinkler,Inorganic,95.99,2024-05-08,2024-08-26,110,4231.1,IOT1810,2024-06-03 10:00:00,13.1288,88.7758,0.7647,None
FARM0032,South USA,Wheat,36.26,6.62,26.94,93.56,82.08,9.52,None,Mixed,78.79,2024-01-04,2024-04-08,95,3184.46,IOT2575,2024-06-06 03:00:00,13.1123,74.8656,0.3733,Moderate
FARM0033,North India,Wheat,35.9,6.15,18.59,166.7,53.16,6.13,Manual,Inorganic,36.29,2024-04-15,2024-08-18,125,6139.7,IOT6672,2024-06-03 09:00:00,33.5795,88.8956,0.6728,None
FARM0034,Central USA,Soybean,28.54,5.99,23.51,280.59,89.93,7.6,Manual,Organic,27.77,2024-04-05,2024-08-12,129,5305.67,IOT5229,2024-06-07 20:00:00,26.1213,79.9106,0.7968,Moderate
